xCol-Time-min	parCol-Stimulus	pIL4Ra_obs	stdCol-pIL4Ra_obs	pJAK2_obs	stdCol-pJAK2_obs	IL13-cell_obs	stdCol-IL13-cell_obs	RecSurf_obs	stdCol-RecSurf_obs	pSTAT5_obs	stdCol-pSTAT5_obs	CD274mRNA_obs	stdCol-CD274mRNA_obs			
100	3	NaN	NaN	0.833903115	0.550780623	144.1168654	39.6175298	NaN	NaN	16.6827739	7.93827739	NaN	NaN			
120	3	NaN	NaN	2.094276986	0.802855397	140.3709292	39.05563939	1.458942351	0.126	13.14751002	7.584751002	3.628609452	0.950860945			
0	4	0.309793509	0.191524466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
3	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
5	4	4.721531916	1.954896307	NaN	NaN	298.4262025	62.76393038	NaN	NaN	NaN	NaN	NaN	NaN			
6	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
10	4	4.15512566	1.728503726	NaN	NaN	307.1957584	64.07936376	NaN	NaN	NaN	NaN	NaN	NaN			
15	4	3.229913869	1.358696573	NaN	NaN	359.6533831	71.94800746	NaN	NaN	NaN	NaN	NaN	NaN			
20	4	3.992965416	1.663688277	NaN	NaN	360.0163614	72.00245421	NaN	NaN	NaN	NaN	NaN	NaN			
25	4	4.255127457	1.768474445	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
30	4	3.195677837	1.345012431	NaN	NaN	325.4172693	66.8125904	NaN	NaN	NaN	NaN	NaN	NaN			
40	4	1.38827844	0.622594893	NaN	NaN	344.1324308	69.61986461	NaN	NaN	NaN	NaN	NaN	NaN			
45	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
50	4	NaN	NaN	NaN	NaN	297.3517868	62.60276801	NaN	NaN	NaN	NaN	NaN	NaN			
60	4	2.13553222	0.921272228	NaN	NaN	281.7146814	60.2572022	NaN	NaN	NaN	NaN	NaN	NaN			
75	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
80	4	NaN	NaN	NaN	NaN	270.8688896	58.63033344	NaN	NaN	NaN	NaN	NaN	NaN			
90	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
100	4	NaN	NaN	NaN	NaN	267.3697787	58.10546681	NaN	NaN	NaN	NaN	NaN	NaN			
120	4	NaN	NaN	NaN	NaN	229.8233028	52.47349542	NaN	NaN	NaN	NaN	NaN	NaN			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
